,Unnamed: 0,RegionalYear,RegionalSite,HostSeed,Seed1UID,Seed2UID,Seed3UID,Seed4UID,WinnerUID,RunnerUpUID,OneWinUID,NoWinUID,BaseWinnerCorrect,BaseRunnerUpCorrect,BaseOneWinTeamCorrect,BaseNoWinTeamCorrect,BaseAllTeamsCorrect,SADPWinnerCorrect,SADPRunnerUpCorrect,SADPOneWinTeamCorrect,SADPNoWinTeamCorrect,SADPAllTeamsCorrect,CADPWinnerCorrect,CADPRunnerUpCorrect,CADPOneWinTeamCorrect,CADPNoWinTeamCorrect,CADPAllTeamsCorrect,CSADPWinnerCorrect,CSADPRunnerUpCorrect,CSADPOneWinTeamCorrect,CSADPNoWinTeamCorrect,CSADPAllTeamsCorrect
10,10,2024,Athens,11,2024.SB.Georgia,2024.SB.Charlotte,2024.SB.Liberty,2024.SB.UNCW,2024.SB.Georgia,2024.SB.Liberty,2024.SB.Charlotte,2024.SB.UNCW,5036.0,1520.0,1958.0,2946.0,609.0,9143.0,1113.0,1600.0,5265.0,847.0,9976.0,1530.0,1886.0,6243.0,1308.0,9998.0,1033.0,1184.0,7022.0,961.0
11,11,2024,Fayetteville,12,2024.SB.Arkansas,2024.SB.Arizona,2024.SB.Villanova,2024.SB.SoutheastMoSt,2024.SB.Arizona,2024.SB.Villanova,2024.SB.Arkansas,2024.SB.SoutheastMoSt,2503.0,2800.0,1101.0,5494.0,402.0,1265.0,1338.0,163.0,8093.0,137.0,645.0,256.0,7.0,7696.0,7.0,200.0,21.0,1.0,8816.0,1.0
12,12,2024,Lafayette,13,2024.SB.Louisiana,2024.SB.Baylor,2024.SB.OleMiss,2024.SB.Princeton,2024.SB.Baylor,2024.SB.Louisiana,2024.SB.Princeton,2024.SB.OleMiss,810.0,1508.0,3153.0,2051.0,239.0,167.0,261.0,1588.0,904.0,31.0,811.0,4747.0,307.0,12.0,7.0,503.0,3435.0,39.0,1.0,1.0
13,13,2024,Tuscaloosa,14,2024.SB.Alabama,2024.SB.Clemson,2024.SB.SoutheasternLa,2024.SB.USCUpstate,2024.SB.Alabama,2024.SB.SoutheasternLa,2024.SB.Clemson,2024.SB.USCUpstate,884.0,2333.0,2071.0,3623.0,288.0,880.0,3773.0,1190.0,6874.0,374.0,6880.0,1798.0,1351.0,8557.0,1234.0,4811.0,1691.0,756.0,9426.0,678.0
14,14,2024,Tallahassee,15,2024.SB.FloridaSt,2024.SB.Auburn,2024.SB.UCF,2024.SB.Chattanooga,2024.SB.FloridaSt,2024.SB.Auburn,2024.SB.UCF,2024.SB.Chattanooga,4857.0,1881.0,2321.0,2655.0,638.0,8198.0,2425.0,2467.0,5283.0,1613.0,3321.0,2799.0,4294.0,9409.0,1751.0,5664.0,3768.0,5033.0,9774.0,3070.0
15,15,2024,Bryan-College Station,16,2024.SB.TexasA&M,2024.SB.TexasSt,2024.SB.PennSt,2024.SB.UAlbany,2024.SB.TexasA&M,2024.SB.TexasSt,2024.SB.PennSt,2024.SB.UAlbany,4362.0,3352.0,2583.0,2078.0,986.0,6281.0,5561.0,2838.0,2865.0,1834.0,9749.0,8149.0,6365.0,7656.0,6156.0,9757.0,9340.0,7029.0,7377.0,6862.0
0,0,2023,Norman,1,2023.SB.Oklahoma,2023.SB.California,2023.SB.Missouri,2023.SB.Hofstra,2023.SB.Oklahoma,2023.SB.California,2023.SB.Missouri,2023.SB.Hofstra,9999.0,3783.0,3503.0,7290.0,3093.0,10000.0,3061.0,3005.0,9652.0,2998.0,9991.0,3730.0,3729.0,9993.0,3728.0,10000.0,2840.0,2840.0,10000.0,2840.0
1,1,2023,Los Angeles,2,2023.SB.UCLA,2023.SB.Liberty,2023.SB.SanDiegoSt,2023.SB.GrandCanyon,2023.SB.SanDiegoSt,2023.SB.Liberty,2023.SB.GrandCanyon,2023.SB.UCLA,548.0,1734.0,2148.0,487.0,22.0,26.0,1144.0,1629.0,12.0,1.0,1.0,3188.0,2404.0,1.0,0.0,0.0,2303.0,2033.0,0.0,0.0
2,2,2023,Tallahassee,3,2023.SB.FloridaSt,2023.SB.SouthCarolina,2023.SB.UCF,2023.SB.Marist,2023.SB.FloridaSt,2023.SB.SouthCarolina,2023.SB.UCF,2023.SB.Marist,8171.0,4026.0,3585.0,5938.0,2684.0,9925.0,6349.0,5476.0,8497.0,5352.0,4331.0,4150.0,8117.0,8517.0,3531.0,8727.0,8458.0,9199.0,9479.0,8009.0
3,3,2023,Knoxville,4,2023.SB.Tennessee,2023.SB.Indiana,2023.SB.Louisville,2023.SB.NorthernKy,2023.SB.Tennessee,2023.SB.Indiana,2023.SB.Louisville,2023.SB.NorthernKy,9846.0,5217.0,4597.0,8563.0,4475.0,9997.0,4810.0,4765.0,9934.0,4765.0,9997.0,5082.0,5083.0,9997.0,5082.0,10000.0,4485.0,4485.0,10000.0,4485.0
4,4,2023,Tuscaloosa,5,2023.SB.Alabama,2023.SB.CentralArk,2023.SB.MiddleTenn,2023.SB.LIU,2023.SB.Alabama,2023.SB.MiddleTenn,2023.SB.CentralArk,2023.SB.LIU,2451.0,2581.0,1081.0,5424.0,560.0,2839.0,1147.0,324.0,8401.0,295.0,9262.0,2297.0,2144.0,9170.0,2111.0,8593.0,707.0,676.0,9632.0,675.0
5,5,2023,Stillwater,6,2023.SB.OklahomaSt,2023.SB.WichitaSt,2023.SB.Nebraska,2023.SB.UMBC,2023.SB.OklahomaSt,2023.SB.Nebraska,2023.SB.WichitaSt,2023.SB.UMBC,3786.0,1022.0,742.0,4162.0,323.0,6370.0,198.0,143.0,7063.0,119.0,9774.0,3748.0,3615.0,9394.0,3560.0,9931.0,1399.0,1395.0,9803.0,1395.0
6,6,2023,Seattle,7,2023.SB.Washington,2023.SB.Minnesota,2023.SB.McNeese,2023.SB.NorthernColo,2023.SB.Washington,2023.SB.McNeese,2023.SB.Minnesota,2023.SB.NorthernColo,5415.0,3601.0,4142.0,7438.0,2470.0,7987.0,4791.0,5654.0,9896.0,4547.0,9577.0,2824.0,2783.0,9780.0,2751.0,9875.0,3133.0,3121.0,9988.0,3103.0
7,7,2023,Durham,8,2023.SB.Duke,2023.SB.Charlotte,2023.SB.Campbell,2023.SB.GeorgeMason,2023.SB.Duke,2023.SB.Charlotte,2023.SB.Campbell,2023.SB.GeorgeMason,6657.0,3017.0,3074.0,3766.0,1517.0,9543.0,5965.0,4267.0,5553.0,3675.0,9831.0,6284.0,4588.0,6324.0,4175.0,9988.0,7964.0,5248.0,6446.0,5135.0
8,8,2023,Stanford,9,2023.SB.Stanford,2023.SB.Florida,2023.SB.LMU-CA,2023.SB.LongBeachSt,2023.SB.Stanford,2023.SB.Florida,2023.SB.LMU-CA,2023.SB.LongBeachSt,7657.0,5883.0,4154.0,4777.0,3179.0,9131.0,8961.0,4912.0,4999.0,4521.0,7292.0,7266.0,5150.0,5176.0,3750.0,8675.0,8674.0,5278.0,5279.0,4567.0
9,9,2023,Baton Rouge,10,2023.SB.LSU,2023.SB.Louisiana,2023.SB.Omaha,2023.SB.PrairieView,2023.SB.Louisiana,2023.SB.LSU,2023.SB.Omaha,2023.SB.PrairieView,4106.0,3258.0,3870.0,5792.0,1444.0,5025.0,4527.0,7642.0,8617.0,3796.0,429.0,414.0,8971.0,9549.0,396.0,696.0,693.0,9687.0,9813.0,682.0
10,10,2023,Fayetteville,11,2023.SB.Arkansas,2023.SB.Oregon,2023.SB.NotreDame,2023.SB.Harvard,2023.SB.Oregon,2023.SB.Arkansas,2023.SB.NotreDame,2023.SB.Harvard,2591.0,2300.0,3008.0,3229.0,532.0,1670.0,1448.0,5135.0,6295.0,776.0,2662.0,2406.0,8405.0,9709.0,2321.0,1427.0,1379.0,9364.0,9886.0,1361.0
11,11,2023,Evanston,12,2023.SB.Northwestern,2023.SB.Kentucky,2023.SB.Miami-OH,2023.SB.EasternIll,2023.SB.Northwestern,2023.SB.Miami-OH,2023.SB.Kentucky,2023.SB.EasternIll,5361.0,3467.0,2990.0,2382.0,1217.0,9585.0,6462.0,4739.0,6203.0,4291.0,3798.0,195.0,85.0,6265.0,65.0,7559.0,73.0,71.0,8438.0,68.0
12,12,2023,Austin,13,2023.SB.Texas,2023.SB.TexasA&M,2023.SB.TexasSt,2023.SB.SetonHall,2023.SB.Texas,2023.SB.TexasA&M,2023.SB.TexasSt,2023.SB.SetonHall,6114.0,2296.0,3052.0,2157.0,845.0,9535.0,3334.0,3566.0,4184.0,2047.0,7851.0,6813.0,5869.0,6805.0,4562.0,9643.0,8281.0,6256.0,7503.0,5998.0
13,13,2023,Athens,14,2023.SB.Georgia,2023.SB.VirginiaTech,2023.SB.BostonU,2023.SB.NCCentral,2023.SB.Georgia,2023.SB.VirginiaTech,2023.SB.BostonU,2023.SB.NCCentral,2555.0,1706.0,449.0,9198.0,408.0,2562.0,762.0,195.0,10000.0,192.0,9890.0,5547.0,5555.0,9999.0,5532.0,9812.0,3300.0,3291.0,10000.0,3289.0
14,14,2023,Salt Lake City,15,2023.SB.Utah,2023.SB.Baylor,2023.SB.OleMiss,2023.SB.SouthernIll,2023.SB.Utah,2023.SB.OleMiss,2023.SB.Baylor,2023.SB.SouthernIll,4106.0,1904.0,1691.0,3731.0,671.0,6106.0,1747.0,1404.0,6463.0,1091.0,5749.0,3501.0,3384.0,9835.0,2487.0,7015.0,3070.0,2732.0,9945.0,2455.0
15,15,2023,Clemson,16,2023.SB.Clemson,2023.SB.Auburn,2023.SB.CalStFullerton,2023.SB.UNCGreensboro,2023.SB.Clemson,2023.SB.Auburn,2023.SB.CalStFullerton,2023.SB.UNCGreensboro,8605.0,5578.0,3878.0,4729.0,2990.0,9247.0,8009.0,4812.0,5510.0,4367.0,4932.0,4857.0,5146.0,5283.0,2585.0,6751.0,6702.0,5501.0,5572.0,3708.0
0,0,2022,Norman,1,2022.SB.Oklahoma,2022.SB.TexasA&M,2022.SB.Minnesota,2022.SB.PrairieView,2022.SB.Oklahoma,2022.SB.TexasA&M,2022.SB.Minnesota,2022.SB.PrairieView,10000.0,7289.0,5215.0,6840.0,5046.0,10000.0,9621.0,9437.0,9816.0,9437.0,10000.0,9550.0,9541.0,9991.0,9541.0,10000.0,9987.0,9987.0,10000.0,9987.0
1,1,2022,Tallahassee,2,2022.SB.FloridaSt,2022.SB.MississippiSt,2022.SB.SouthFla,2022.SB.Howard,2022.SB.MississippiSt,2022.SB.FloridaSt,2022.SB.SouthFla,2022.SB.Howard,139.0,3610.0,1039.0,6230.0,40.0,0.0,2238.0,629.0,9598.0,0.0,1257.0,1505.0,4973.0,9992.0,834.0,29.0,660.0,2621.0,10000.0,9.0
2,2,2022,Blacksburg,3,2022.SB.VirginiaTech,2022.SB.Kentucky,2022.SB.Miami-OH,2022.SB.SaintFrancis,2022.SB.VirginiaTech,2022.SB.Kentucky,2022.SB.Miami-OH,2022.SB.SaintFrancis,6960.0,2460.0,3042.0,2847.0,1115.0,9971.0,3933.0,3787.0,4871.0,2575.0,7207.0,7116.0,6236.0,6318.0,4553.0,9974.0,9930.0,6769.0,6798.0,6752.0
3,3,2022,Fayetteville,4,2022.SB.Arkansas,2022.SB.Oregon,2022.SB.WichitaSt,2022.SB.Princeton,2022.SB.Arkansas,2022.SB.Oregon,2022.SB.WichitaSt,2022.SB.Princeton,6573.0,2223.0,2151.0,4787.0,1227.0,9290.0,1317.0,1226.0,8583.0,1195.0,8653.0,7286.0,8412.0,9866.0,7167.0,9886.0,7662.0,7765.0,9998.0,7659.0
4,4,2022,Los Angeles,5,2022.SB.UCLA,2022.SB.OleMiss,2022.SB.LMU-CA,2022.SB.GrandCanyon,2022.SB.UCLA,2022.SB.OleMiss,2022.SB.LMU-CA,2022.SB.GrandCanyon,8719.0,1846.0,2979.0,3530.0,1104.0,9948.0,1802.0,3053.0,4332.0,1296.0,9801.0,8868.0,6494.0,7304.0,6343.0,9992.0,8785.0,6786.0,7886.0,6770.0
5,5,2022,Tuscaloosa,6,2022.SB.Alabama,2022.SB.Stanford,2022.SB.MurraySt,2022.SB.Chattanooga,2022.SB.Stanford,2022.SB.Alabama,2022.SB.Chattanooga,2022.SB.MurraySt,2155.0,3116.0,2474.0,1024.0,382.0,1688.0,2417.0,603.0,241.0,76.0,3970.0,3633.0,891.0,884.0,386.0,3040.0,2743.0,163.0,159.0,49.0
6,6,2022,Stillwater,7,2022.SB.OklahomaSt,2022.SB.Nebraska,2022.SB.NorthTexas,2022.SB.Fordham,2022.SB.OklahomaSt,2022.SB.NorthTexas,2022.SB.Nebraska,2022.SB.Fordham,6954.0,3027.0,2699.0,6038.0,1883.0,9726.0,3006.0,2837.0,8532.0,2720.0,9474.0,2488.0,2365.0,9150.0,2329.0,9962.0,2016.0,1999.0,9656.0,1996.0
7,7,2022,Tempe,8,2022.SB.ArizonaSt,2022.SB.LSU,2022.SB.SanDiegoSt,2022.SB.CalStFullerton,2022.SB.ArizonaSt,2022.SB.SanDiegoSt,2022.SB.CalStFullerton,2022.SB.LSU,6882.0,3824.0,2562.0,1836.0,883.0,9296.0,4269.0,712.0,242.0,192.0,8372.0,670.0,611.0,2.0,2.0,9485.0,536.0,161.0,0.0,0.0
8,8,2022,Evanston,9,2022.SB.Northwestern,2022.SB.NotreDame,2022.SB.McNeese,2022.SB.Oakland,2022.SB.Northwestern,2022.SB.McNeese,2022.SB.NotreDame,2022.SB.Oakland,4817.0,2337.0,1535.0,6265.0,1096.0,1743.0,995.0,129.0,8835.0,120.0,2187.0,438.0,71.0,8164.0,68.0,421.0,168.0,0.0,9391.0,0.0
9,9,2022,Clemson,10,2022.SB.Clemson,2022.SB.Auburn,2022.SB.Louisiana,2022.SB.UNCW,2022.SB.Clemson,2022.SB.Louisiana,2022.SB.Auburn,2022.SB.UNCW,1495.0,1805.0,2912.0,3521.0,510.0,3700.0,2951.0,5020.0,7166.0,2129.0,2478.0,2917.0,932.0,7551.0,592.0,5645.0,2977.0,2306.0,9314.0,1846.0
10,10,2022,Knoxville,11,2022.SB.Tennessee,2022.SB.OhioSt,2022.SB.OregonSt,2022.SB.Campbell,2022.SB.OregonSt,2022.SB.Tennessee,2022.SB.OhioSt,2022.SB.Campbell,4266.0,3028.0,3161.0,4101.0,1056.0,4317.0,3612.0,4953.0,6040.0,2032.0,5420.0,4954.0,6716.0,7533.0,3621.0,4844.0,4718.0,7568.0,7943.0,3714.0
11,11,2022,Durham,12,2022.SB.Duke,2022.SB.Georgia,2022.SB.Liberty,2022.SB.UMBC,2022.SB.Duke,2022.SB.Georgia,2022.SB.Liberty,2022.SB.UMBC,8467.0,2545.0,2481.0,5817.0,1743.0,9979.0,1847.0,1792.0,8475.0,1677.0,8413.0,7877.0,7135.0,7701.0,6030.0,9998.0,8818.0,8181.0,9354.0,8178.0
12,12,2022,Seattle,13,2022.SB.Washington,2022.SB.Texas,2022.SB.WeberSt,2022.SB.Lehigh,2022.SB.Texas,2022.SB.Washington,2022.SB.Lehigh,2022.SB.WeberSt,1228.0,2987.0,2123.0,619.0,179.0,457.0,1389.0,175.0,36.0,5.0,1233.0,1191.0,1010.0,1011.0,150.0,345.0,336.0,85.0,84.0,2.0
13,13,2022,Gainesville,14,2022.SB.Florida,2022.SB.GeorgiaTech,2022.SB.Wisconsin,2022.SB.Canisius,2022.SB.Florida,2022.SB.Wisconsin,2022.SB.GeorgiaTech,2022.SB.Canisius,5296.0,1654.0,2524.0,2371.0,606.0,9072.0,964.0,1824.0,4224.0,706.0,8956.0,1492.0,1390.0,8321.0,1330.0,9754.0,686.0,685.0,8539.0,678.0
14,14,2022,Columbia,15,2022.SB.Missouri,2022.SB.Illinois,2022.SB.Arizona,2022.SB.MissouriSt,2022.SB.Arizona,2022.SB.Missouri,2022.SB.MissouriSt,2022.SB.Illinois,2403.0,2906.0,2986.0,1609.0,494.0,3224.0,3141.0,2652.0,1469.0,629.0,4949.0,4083.0,1267.0,1196.0,662.0,5296.0,4381.0,859.0,820.0,460.0
15,15,2022,Orlando,16,2022.SB.UCF,2022.SB.Michigan,2022.SB.SouthDakotaSt,2022.SB.Villanova,2022.SB.UCF,2022.SB.Michigan,2022.SB.SouthDakotaSt,2022.SB.Villanova,2689.0,2946.0,1611.0,6266.0,808.0,1994.0,3775.0,1321.0,8994.0,791.0,3963.0,3172.0,3838.0,8593.0,1904.0,3118.0,3399.0,2941.0,9765.0,1503.0
